Year,Step,0,1,2,3,4+
1983,1,789.8371159,1845.985804,28970.89459,772.4689699,320.0701192
1983,2,10222.59315,263.8656008,3085.02865,564.0127218,2.198880007
1984,1,15.37483922,47117.09919,1701.105373,10002.46342,333.1968833
1984,2,0,9241.29137,89.83839633,566.197666,42.95766113
1985,1,5245.610703,6216.842747,31364.33078,1987.155127,211.484381
1985,2,8524.055391,1353.568595,2305.207274,1594.869325,212.744431
1986,1,0,44939.66017,7553.290885,1652.185815,30.90123095
1986,2,87.14105283,4162.541363,227.9672186,187.5088726,14.00481206
1987,1,0,4504.002031,23571.73759,1198.720835,170.8021915
1987,2,186.6277506,1938.298283,4173.447417,122.7484534,31.9396486
1988,1,1207.189293,1996.963133,8564.242914,15229.28803,2354.019121
1988,2,0,0,161.5581775,1438.834367,46.94853021
1989,1,40.78343906,62502.72985,6363.622819,1345.853489,4736.504233
1989,2,0.467877323,757.4933859,77.19975829,16.3757063,57.54891073
1990,1,0,16846.26582,13916.80714,2059.553882,621.9568878
1990,2,521.855688,1256.999128,416.9600723,62.06323927,18.35673274
1991,1,0,14938.62132,6869.769822,983.0980231,338.1261383
1991,2,7343.592906,6916.858329,208.5180322,67.2834348,0
1992,1,1.686640084,50883.40137,8450.91014,845.006682,523.701746
1992,2,104.4126506,3041.213249,297.6539741,122.334225,26.49276209
1993,1,2676.089376,2180.91066,5882.231625,1638.375272,491.0236388
1993,2,1624.10052,362.3875628,271.1298673,156.038127,42.948538
1994,1,0,22172.48395,2668.743496,1195.097681,881.7491429
1994,2,0,1533.193636,125.7362979,54.80542694,78.35574796
1995,1,40.69014678,36677.30539,6236.165218,737.2714731,288.6546087
1995,2,75.64352947,3439.662761,940.1947528,108.5471554,28.18044199
1996,1,6210.395936,10402.28026,12301.00443,4526.840561,860.5002595
1996,2,6470.203736,1064.330666,1026.590606,210.8605914,65.06814921
1997,1,83.06280036,38667.12384,2331.753871,3521.518174,713.3713751
1997,2,18.6486322,8899.097351,176.5521163,164.3925245,55.76971852
1998,1,100.2487622,9387.181998,28363.73385,2164.395657,1504.583035
1998,2,211.224831,438.058414,1383.553202,136.0506793,89.79797118
1999,1,578.3493811,44620.69584,5432.802197,10158.4215,698.8328211
1999,2,440.3649709,2498.27355,205.0545407,717.1893255,148.6116108
2000,1,23450.51337,32624.96211,3355.268487,629.7429752,1076.467489
2000,2,7886.804237,2759.504125,170.4659817,84.23955486,121.7013948
2001,1,3991.994307,56780.38355,8549.411538,1098.201874,972.0502663
2001,2,47080.30841,3126.865741,473.8652707,49.24442592,98.1364928
2002,1,811.7578776,84878.39448,10772.20847,1212.501162,225.1214
2002,2,16.0328904,604.8153725,107.905465,15.21739734,5.587970505
2003,1,12510.26084,3842.912725,13302.2494,1117.439889,302.3890481
2003,2,2473.516015,386.0418513,4390.070534,140.9743923,31.17368383
2004,1,4204.252007,30653.57233,785.5008622,2364.269751,479.8388735
2004,2,565.7374979,2479.119029,109.999731,229.9109786,47.09239757
2005,1,645.224108,11105.47411,4434.996347,262.670239,434.8522398
2005,2,43.82103991,383.0881719,211.4205168,13.59575058,27.4455826
2006,1,2220.275204,33600.00286,2590.43169,816.673027,162.61056
2006,2,37.19881235,799.9071534,93.85850267,43.48819963,19.49229356
2007,1,166.0446228,10580.61996,4674.23593,315.2380971,171.6626937
2007,2,0,0,0,0,0
2008,1,407.1788466,26734.81,4009.085616,1204.886649,214.3922183
2008,2,6.294866321,280.5888247,74.65798678,32.80652502,5.70717182
2009,1,4052.460565,18897.98502,14265.17955,1556.247877,392.3156104
2009,2,978.5663329,2254.097124,278.061157,11.99735992,3.447234287
2010,1,138.1835147,39950.96412,2130.2266,941.9948054,108.2121213
2010,2,9.754082875,1184.297999,35.26813436,15.73494165,2.409682708
2011,1,169.9803296,1894.04549,32691.66612,1305.178654,265.6017006
2011,2,4.500967287,38.62145889,325.1100498,13.95088424,1.216726518
2012,1,0.1006881731,383.0901171,419.0862905,3353.944173,128.6529795
2012,2,0.005805793921,0.1690539291,0.115982904,0.3734030753,0.02093357301
2013,1,138.0657434,18090.23848,7916.362327,2181.643618,4301.115722
2013,2,3.061558974,598.2995152,131.4291535,99.52847525,48.58518675
2014,1,6361.767518,8930.004935,3353.610218,401.3892422,359.5634397
2014,2,924.9409607,131.2418441,98.18708008,23.06519901,24.52688927
2015,1,227.3053812,25326.40211,1918.219308,579.2490329,171.5132712
2015,2,0.000312265586,0.1119447281,0.0193067343,0.01142202358,0.004265959957
2016,1,394.6500802,207.8112417,1193.238199,97.37794611,16.75961775
2016,2,0.01713568808,0.00769188716,0.01463387739,0.002316832811,0.00110821732
2017,1,57.74477501,33037.94156,3015.412922,4603.626465,103.4910522
2017,2,2.513162274,253.3830537,39.60646435,38.16690168,6.78624071
2018,1,613.131739,1701.687695,14566.85877,974.6526423,342.5194183
2018,2,91.45870797,158.8239127,797.4794972,43.21384532,11.37158676
