Year,Step1,Step2,Total
1983,6925.891429,2065.747922,8991.639351
1984,7909.526063,2256.402541,10165.928604
1985,8440.881421,2420.919327,10861.800748
1986,6568.591085,804.529268,7373.120353
1987,4288.202002,1393.60974,5681.811742
1988,7172.771978,808.9957342,7981.7677122
1989,8239.601241,312.7011829,8552.3024239
1990,8005.611191,520.2662314,8525.8774224
1991,4587.124466,1403.142795,5990.267261
1992,7925.05052,878.8264824,8803.8770024
1993,3494.06054,397.5777869,3891.6383269
1994,2851.07878,297.1612869,3148.2400669
1995,5296.007113,601.3279779,5897.3350909
1996,4803.552598,691.2247513,5494.7773493
1997,3995.384864,1368.751533,5364.136397
1998,6092.418493,567.2826368,6659.7011298
1999,7881.308953,1025.591883,8906.900836
2000,6187.659479,960.8112785,7148.4707575
2001,8047.288032,2983.048167,11030.336199
2002,7951.564815,220.0302639,8171.5950789
2003,5911.855013,898.940164,6810.795177
2004,6603.489725,456.7189124,7060.2086374
2005,3292.041088,124.063639,3416.104727
2006,3981.644634,178.1385373,4159.7831713
2007,1560.145578,0,1560.145578
2008,2793.40344,85.02064423,2878.42408423
2009,3375.558101,173.958667,3549.516768
2010,2724.547871,134.1681151,2858.7159861
2011,3073.627966,93.99065514,3167.61862114
2012,587.4179383,0,587.4179383
2013,3696.807837,186.5579839,3883.3658209
2014,2122.279344,82.31766729,2204.59701129
2015,2070.666156,0,2070.666156
2016,144.96,0,144.96
2017,2761.7,51.2,2812.9
2018,2942,322.35,3264.35
