Year,Step,0,1,2,3,4+
1983,1,4.854082,4.861802,9.737054,17.176187,20.546832
1983,2,3.308787,4.01463,8.282636,13.161446,11.564855
1984,1,2.877559,5.461528,10.107375,14.056553,13.416452
1984,2,3.683942,7.322076,12.809467,16.842455,15.796113
1985,1,4.265424,5.077862,9.154445,16.399939,17.889617
1985,2,2.984102,5.844444,10.67463,12.894201,16.597471
1986,1,3.403747,5.293854,11.706491,11.686073,13.557635
1986,2,2.980626,7.455941,12.697072,12.775213,14.67807
1987,1,3.69524,7.152928,10.618137,18.498811,14.718693
1987,2,4.022635,7.848175,11.231441,20.183252,16.073772
1988,1,7.586812,6.120803,10.378604,15.963742,17.757964
1988,2,3.934094,6.828869,12.021791,17.048142,24.44197
1989,1,2.466894,4.983542,8.625595,9.055365,12.046558
1989,2,6.213808,9.633903,15.524725,17.19693,28.266297
1990,1,3.832988,6.611435,9.629983,14.223914,16.991596
1990,2,5.009757,8.979617,13.085141,19.325759,23.085452
1991,1,4.921054,7.798859,14.162877,37.802369,19.601292
1991,2,3.756426,6.131766,11.809993,31.987199,17.15777
1992,1,1.877117,7.789063,11.871964,17.682009,19.032532
1992,2,4.932693,9.533313,15.284889,19.691861,21.175275
1993,1,4.613264,7.334004,11.475361,14.417342,20.207397
1993,2,4.015165,7.506591,10.475084,13.602405,18.20073
1994,1,3.784087,5.497967,8.651716,12.740006,19.808521
1994,2,4.377115,7.597873,12.261011,16.335205,18.768319
1995,1,4.206031,7.610387,11.308981,14.064293,19.011026
1995,2,3.828783,6.795619,9.942142,14.102774,18.986484
1996,1,4.160746,5.578973,8.38117,12.210989,17.732664
1996,2,2.866869,4.636242,7.580581,9.548446,14.177628
1997,1,3.912086,7.250912,8.256429,9.92747,14.424958
1997,2,3.70051,8.450479,14.187551,15.468542,16.085223
1998,1,3.994077,6.312547,8.893495,11.537935,13.478747
1998,2,3.22968,6.694533,9.955256,11.894402,14.522323
1999,1,4.416277,5.338708,7.504061,10.330174,13.066823
1999,2,3.423301,5.942226,9.589222,12.775611,14.678527
2000,1,3.220603,6.287425,8.725957,11.904709,14.478847
2000,2,3.119181,4.839754,7.875199,10.617173,12.219099
2001,1,2.206634,4.520183,8.691184,11.528506,16.641222
2001,2,3.119494,5.029224,12.122397,16.527585,23.589265
2002,1,4.505004,5.958873,7.43556,9.816924,13.815885
2002,2,3.848565,6.680407,10.780457,14.36268,16.501989
2003,1,2.427861,3.644946,7.209471,9.495159,12.84583
2003,2,2.166204,2.712165,3.590607,8.399938,9.072269
2004,1,2.745261,5.060538,8.291171,8.951986,10.370435
2004,2,3.510161,4.520285,6.636834,6.673073,8.75601
2005,1,4.290782,6.501143,8.743422,10.317806,12.119245
2005,2,3.039219,5.275529,8.513345,11.342233,13.031649
2006,1,3.091375,5.887128,9.672119,11.636775,13.006613
2006,2,3.186976,5.53201,8.927239,11.893659,13.665209
2007,1,4.605919,5.554283,9.431414,13.463592,14.724766
2007,2,4.106172,7.0049,11.310566,15.075837,17.339983
2008,1,2.732259,6.273783,10.851677,13.28726,15.787654
2008,2,4.495924,7.804105,12.593816,16.778597,19.277755
2009,1,4.588887,6.170481,9.406817,12.102262,13.219469
2009,2,2.823017,4.900242,7.907729,10.535377,12.104612
2010,1,2.782692,6.299658,12.372723,13.88267,17.179662
2010,2,3.374981,5.858352,9.453872,12.595285,14.471342
2011,1,4.798679,5.29715,8.730276,12.692042,14.774762
2011,2,2.799656,4.859692,7.842292,10.448196,12.004446
2012,1,0.780664,6.393957,9.501648,11.273986,14.497245
2012,2,3.788793,6.576653,10.613024,14.139611,16.245694
2013,1,4.506429,4.680591,6.508861,10.072824,11.321659
2013,2,3.764035,6.533678,10.543674,14.047216,16.139537
2014,1,3.128483,4.731098,7.056478,9.480508,11.723313
2014,2,3.023704,5.248599,8.469887,11.284335,12.965126
2015,1,6.11384,5.483847,8.317897,10.594102,14.000032
2015,2,4.023228,6.863402,11.082095,14.771307,16.989718
2016,1,1.649383,5.191957,10.116001,12.498122,14.655684
2016,2,3.150422,5.401346,8.691153,11.571552,13.309405
2017,1,2.657623,5.285059,7.100924,9.22437,10.660069
2017,2,2.889727,5.956145,8.213465,10.509472,12.414124
2018,1,3.861649,4.695054,7.045628,9.489097,11.513886
2018,2,2.405697,4.125598,6.6163,8.784655,10.091253
