 par parNo species year quarter area age predator prey fleet
log_rec 1 1 1983 -1 -1 -1 -1 -1 -1
log_rec 2 1 1984 -1 -1 -1 -1 -1 -1
log_rec 3 1 1985 -1 -1 -1 -1 -1 -1
log_rec 4 1 1986 -1 -1 -1 -1 -1 -1
log_rec 5 1 1987 -1 -1 -1 -1 -1 -1
log_rec 6 1 1988 -1 -1 -1 -1 -1 -1
log_rec 7 1 1989 -1 -1 -1 -1 -1 -1
log_rec 8 1 1990 -1 -1 -1 -1 -1 -1
log_rec 9 1 1991 -1 -1 -1 -1 -1 -1
log_rec 10 1 1992 -1 -1 -1 -1 -1 -1
log_rec 11 1 1993 -1 -1 -1 -1 -1 -1
log_rec 12 1 1994 -1 -1 -1 -1 -1 -1
log_rec 13 1 1995 -1 -1 -1 -1 -1 -1
log_rec 14 1 1996 -1 -1 -1 -1 -1 -1
log_rec 15 1 1997 -1 -1 -1 -1 -1 -1
log_rec 16 1 1998 -1 -1 -1 -1 -1 -1
log_rec 17 1 1999 -1 -1 -1 -1 -1 -1
log_rec 18 1 2000 -1 -1 -1 -1 -1 -1
log_rec 19 1 2001 -1 -1 -1 -1 -1 -1
log_rec 20 1 2002 -1 -1 -1 -1 -1 -1
log_rec 21 1 2003 -1 -1 -1 -1 -1 -1
log_rec 22 1 2004 -1 -1 -1 -1 -1 -1
log_rec 23 1 2005 -1 -1 -1 -1 -1 -1
log_rec 24 1 2006 -1 -1 -1 -1 -1 -1
log_rec 25 1 2007 -1 -1 -1 -1 -1 -1
log_rec 26 1 2008 -1 -1 -1 -1 -1 -1
log_rec 27 1 2009 -1 -1 -1 -1 -1 -1
log_rec 28 1 2010 -1 -1 -1 -1 -1 -1
log_rec 29 1 2011 -1 -1 -1 -1 -1 -1
log_rec 30 1 2012 -1 -1 -1 -1 -1 -1
log_rec 31 1 2013 -1 -1 -1 -1 -1 -1
log_rec_older 32 1 1983 1 -1 1 -1 -1 -1
log_rec_older 33 1 1983 1 -1 2 -1 -1 -1
