,2018,2017,2016,2015,2014,2013
1983,476.65134,473.14693,456.11816,455.56685,462.75042,468.80789
1984,205.1201,203.84333,196.78528,196.67713,198.54253,200.31207
1985,462.4755,458.28924,439.57632,438.25156,452.30213,464.88773
1986,277.31793,277.04167,274.09381,273.79957,276.60601,279.56958
1987,991.63926,996.41446,1006.69697,1007.15211,1001.05277,998.45285
1988,593.69277,594.91004,595.33962,595.55595,593.48764,592.66061
1989,160.3861,160.8177,160.8225,160.9588,159.616,158.5948
1990,250.3022,250.04153,246.51031,246.11193,250.16232,253.87329
1991,331.092,331.9291,328.9084,328.4739,333.5396,337.5174
1992,286.4243,287.5223,288.9017,289.0737,287.0246,285.4856
1993,262.86865,262.06081,257.33886,256.97299,260.15314,263.51296
1994,180.2993,179.8641,177.6961,177.5892,178.2878,179.1112
1995,399.344,398.048,397.5122,397.5464,395.8556,394.6639
1996,364.5634,363.92501,363.74383,363.71297,363.39888,363.00476
1997,233.685,234.0923,235.0354,235.0726,234.1368,233.5649
1998,522.2639,523.47053,526.86105,526.91929,524.25015,523.62702
1999,225.23138,226.00542,227.58801,227.6153,226.62947,226.26844
2000,142.5601,142.9296,142.8689,142.8282,143.5352,144.1407
2001,160.6966,161.7716,162.3342,162.2923,163.4136,164.3501
2002,154.89757,155.81463,155.46905,155.49317,156.05871,156.76135
2003,243.55242,242.66734,239.27993,239.67813,237.95877,235.809506
2004,94.31604,94.09662,93.27562,93.53786,92.2662,90.70491
2005,117.29579,117.22583,118.24959,118.98175,116.88826,113.27324
2006,75.55275,76.58434,78.60334,79.5127,77.66514,76.02308
2007,88.32477,90.85705,92.81641,94.69515,93.9166,93.00446
2008,129.27673,133.30082,136.86891,138.49362,139.73469,144.34347
2009,155.14418,159.41496,163.54171,165.30485,166.82818,166.42473
2010,119.71295,125.98211,131.86445,134.30753,143.39066,159.3037
2011,452.79835,476.6096,494.39796,508.6985,584.4287,743.3368
2012,163.01568,178.6364,199.08223,214.88224,254.88418,358.13145
2013,97.19809,108.53387,116.50753,124.27384,144.63446,208.3045
2014,73.67836,83.54688,87.87336,96.73697,127.66764,212.97051
2015,93.17816,105.02539,119.33061,129.59391,204.06371,NA
2016,270.48516,323.07159,376.05439,375.49498,NA,NA
2017,183.6333,213.7586,233.0444,NA,NA,NA
2018,231.97619,274.01241,NA,NA,NA,NA
2019,97.59262,NA,NA,NA,NA,NA
