Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1983 1 1 1 0 0 0.395819 0.1831 0.578919 1.39822e+07 1.06148e+07 1.94357e+06 1.84599e+06 0.0048618 0.0048618 8974.82 8974.82 1 0.021 67978.6 1427.55 0 0 
1983 1 1 2 0 0 0.352847 0.700937 1.05378 5.28264e+07 3.2654e+07 2.28884e+07 2.89709e+07 0.00973705 0.00973705 282091 282091 1 0.801 514374 412013 0 0 
1983 1 1 3 0 0 0.295101 1.03481 1.32991 2.96911e+06 1.64205e+06 1.69921e+06 772469 0.0171762 0.0171762 13268.1 13268.1 1 0.988 50998.1 50386.1 0 0 
1983 1 1 4 0 0 0.269117 1.03481 1.30392 242434 135454 140168 320070 0.0205468 0.0205468 6576.43 6576.43 1 1 4981.24 4981.24 0 0 
1983 2 1 0 0 0 0.511974 0.0121158 0.52409 3.08543e+08 2.40143e+08 2.90953e+06 1.02226e+07 0.00330879 0.00330879 33824.4 33824.4 1 0 1.0209e+06 0 0 0 
1983 2 1 1 0 0 0.480756 0.0619255 0.542682 7.83707e+06 6.04822e+06 374540 263866 0.00401463 0.00401463 1059.32 1059.32 1 0.021 31462.9 660.721 0 0 
1983 2 1 2 0 0 0.388363 0.237061 0.625424 1.84161e+07 1.36913e+07 3.24568e+06 3.08503e+06 0.00828264 0.00828264 25552.2 25552.2 1 0.801 152534 122180 0 0 
1983 2 1 3 0 0 0.355307 0.349978 0.705285 785337 563468 197201 564013 0.0131614 0.0131614 7423.22 7423.22 1 0.988 10336.2 10212.1 0 0 
1983 2 1 4 0 0 0.351067 0.349978 0.701045 65812.2 47307.9 16556.7 2198.88 0.0115649 0.0115649 25.4297 25.4297 1 1 761.109 761.109 0 0 
1984 1 1 1 0 0 0.400692 0.209104 0.609796 1.82686e+08 1.36772e+08 2.85997e+07 4.71171e+07 0.00546153 0.00546153 257331 257331 1 0.021 997747 20952.7 0 0 
1984 1 1 2 0 0 0.359702 0.800486 1.16019 4.5548e+06 2.69543e+06 2.15765e+06 1.70111e+06 0.0101074 0.0101074 17193.7 17193.7 1 0.801 46037.1 36875.7 0 0 
1984 1 1 3 0 0 0.274046 1.18177 1.45582 9.85326e+06 5.18979e+06 6.13315e+06 1.00025e+07 0.0140566 0.0140566 140600 140600 1 0.988 138503 136841 0 0 
1984 1 1 4 0 0 0.255654 1.18177 1.43743 420578 223090 263641 333197 0.0134165 0.0134165 4470.32 4470.32 1 1 5642.67 5642.67 0 0 
1984 2 1 0 0 0 0.501684 0.0132341 0.514918 7.8061e+07 6.1011e+07 807423 0 0.00368394 0.00368394 0 0 1 0 287572 0 0 0 
1984 2 1 1 0 0 0.466168 0.0676408 0.533809 9.9283e+07 7.69315e+07 5.20371e+06 9.24129e+06 0.00732208 0.00732208 67665.4 67665.4 1 0.021 726958 15266.1 0 0 
1984 2 1 2 0 0 0.386275 0.258941 0.645215 1.4276e+06 1.05198e+06 272400 89838.4 0.0128095 0.0128095 1150.78 1150.78 1 0.801 18286.8 14647.7 0 0 
1984 2 1 3 0 0 0.336395 0.382278 0.718673 2.29788e+06 1.63899e+06 626549 566198 0.0168425 0.0168425 9536.16 9536.16 1 0.988 38701.9 38237.5 0 0 
1984 2 1 4 0 0 0.34811 0.382278 0.730388 99903.5 70890.8 27100 42957.7 0.0157961 0.0157961 678.564 678.564 1 1 1578.09 1578.09 0 0 
1985 1 1 1 0 0 0.384902 0.223152 0.608053 4.66453e+07 3.49495e+07 7.79904e+06 6.21684e+06 0.00507786 0.00507786 31568.3 31568.3 1 0.021 236858 4974.03 0 0 
1985 1 1 2 0 0 0.346352 0.854262 1.20061 5.82163e+07 3.38932e+07 2.89537e+07 3.13643e+07 0.00915445 0.00915445 287123 287123 1 0.801 532938 426883 0 0 
1985 1 1 3 0 0 0.29004 1.26116 1.5512 748847 380413 479762 1.98716e+06 0.0163999 0.0163999 32589.2 32589.2 1 0.988 12281 12133.7 0 0 
1985 1 1 4 0 0 0.264157 1.26116 1.52532 1.16811e+06 599208 755699 211484 0.0178896 0.0178896 3783.37 3783.37 1 1 20897 20897 0 0 
1985 2 1 0 0 0 0.515995 0.014199 0.530194 5.1949e+08 4.03201e+08 5.72504e+06 8.52406e+06 0.0029841 0.0029841 25436.7 25436.7 1 0 1.55021e+06 0 0 0 
1985 2 1 1 0 0 0.468187 0.0725726 0.540759 2.53942e+07 1.9615e+07 1.42351e+06 1.35357e+06 0.00584444 0.00584444 7910.86 7910.86 1 0.021 148415 3116.71 0 0 
1985 2 1 2 0 0 0.384666 0.27782 0.662486 1.75237e+07 1.28139e+07 3.55995e+06 2.30521e+06 0.0106746 0.0106746 24607.2 24607.2 1 0.801 187059 149834 0 0 
1985 2 1 3 0 0 0.363462 0.410151 0.773613 158750 110536 45336.4 1.59487e+06 0.0128942 0.0128942 20564.6 20564.6 1 0.988 2046.96 2022.4 0 0 
1985 2 1 4 0 0 0.344414 0.410151 0.754564 254124 178422 73179.9 212744 0.0165975 0.0165975 3531.02 3531.02 1 1 4217.81 4217.81 0 0 
1986 1 1 1 0 0 0.375586 0.173654 0.54924 3.05715e+08 2.35232e+08 4.08489e+07 4.49397e+07 0.00529385 0.00529385 237904 237904 1 0.021 1.61841e+06 33986.6 0 0 
1986 1 1 2 0 0 0.342321 0.664776 1.0071 1.47872e+07 9.3196e+06 6.19545e+06 7.55329e+06 0.0117065 0.0117065 88422.5 88422.5 1 0.801 173106 138658 0 0 
