Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1983 1 1 1 0 0 0.395819 0.187005 0.582824 1.42525e+07 1.08009e+07 2.01983e+06 1.84599e+06 0.0048618 0.0048618 8974.82 8974.82 1 0.021 69292.8 1455.15 0 0 
1983 1 1 2 0 0 0.352847 0.694287 1.04713 5.11628e+07 3.17128e+07 2.20178e+07 2.89709e+07 0.00973705 0.00973705 282091 282091 1 0.801 498175 399038 0 0 
1983 1 1 3 0 0 0.295101 1.02861 1.32371 2.98922e+06 1.6572e+06 1.70461e+06 772469 0.0171762 0.0171762 13268.1 13268.1 1 0.988 51343.5 50727.3 0 0 
1983 1 1 4 0 0 0.269117 1.02861 1.29773 238368 133508 137328 320070 0.0205468 0.0205468 6576.43 6576.43 1 1 4897.71 4897.71 0 0 
1983 2 1 0 0 0 0.511974 0.0122186 0.524193 2.91842e+08 2.27134e+08 2.77525e+06 1.02226e+07 0.00330879 0.00330879 33824.4 33824.4 1 0 965643 0 0 0 
1983 2 1 1 0 0 0.480756 0.0629952 0.543751 7.95745e+06 6.13814e+06 386673 263866 0.00401463 0.00401463 1059.32 1059.32 1 0.021 31946.2 670.87 0 0 
1983 2 1 2 0 0 0.388363 0.23388 0.622243 1.79552e+07 1.33676e+07 3.12642e+06 3.08503e+06 0.00828264 0.00828264 25552.2 25552.2 1 0.801 148716 119122 0 0 
1983 2 1 3 0 0 0.355307 0.346501 0.701808 795569 571687 198090 564013 0.0131614 0.0131614 7423.22 7423.22 1 0.988 10470.8 10345.2 0 0 
1983 2 1 4 0 0 0.351067 0.346501 0.697568 65110.8 46875.7 16242.5 2198.88 0.0115649 0.0115649 25.4297 25.4297 1 1 752.996 752.996 0 0 
1984 1 1 1 0 0 0.400692 0.213564 0.614256 1.7278e+08 1.29097e+08 2.75705e+07 4.71171e+07 0.00546153 0.00546153 257331 257331 1 0.021 943643 19816.5 0 0 
1984 1 1 2 0 0 0.359702 0.792892 1.15259 4.61982e+06 2.74234e+06 2.17438e+06 1.70111e+06 0.0101074 0.0101074 17193.7 17193.7 1 0.801 46694.3 37402.1 0 0 
1984 1 1 3 0 0 0.274046 1.1747 1.44874 9.63724e+06 5.08978e+06 5.97895e+06 1.00025e+07 0.0140566 0.0140566 140600 140600 1 0.988 135466 133841 0 0 
1984 1 1 4 0 0 0.255654 1.1747 1.43035 426766 226988 266642 333197 0.0134165 0.0134165 4470.32 4470.32 1 1 5725.68 5725.68 0 0 
