Area-1r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1983        308542770         468808         638332         378795          0.592
1984         78060986         200312        1187929         498626          0.668
1985        519489673         464888         802974         437114          0.714
1986         79044864         279570        1899708         382844          0.477
1987         46909869         998453        1548883         373021          0.375
1988        206818854         592660         795242         413646          0.516
1989         95271244         158595         756510         446028          0.806
1990        129232273         253873         667876         306240          0.805
1991        160807848         337518         945042         332204          0.571
1992         35563323         285486        1036867         558599          0.833
1993        146911585         263512         459578         132024          0.368
1994        213845349         179111         665229         193241          0.298
1995         55824407         394664        1417394         400588          0.558
1996        385197392         363005         604746         265869          0.521
1997         61795678         233565        1842206         426089          0.512
1998        117542413         523627         851388         377073          0.629
1999        156453211         226268         579733         422718          0.939
2000        252948391         144141         683832         299167          0.758
2001        393636155         164350         806763         531265          1.220
2002         24488764         156761        1393246         606466          0.837
2003        147864090         235809         331232         148039          0.722
2004         64430098          90705         466924         203646          0.732
2005        144785738         113273         340721         123422          0.940
2006         84345653          76023         516786         240646          1.150
2007        203963994          93004         340850         109624          0.416
2008         90160983         144344         770601         234447          0.787
2009        657774288         166425         471498         290995          0.986
2010         44920870         159304        2254232         300508          0.311
2011         64013818         743337        1037470         318840          0.347
2012        210903288         358132         567927          46117          0.065
2013         70072515         208305         692706         214359          0.408
                              212971
