Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten Mean.Fsum Mean.Fanu
1 1983  3.08543e+08 468808 638332 378795 305181 378795 305181 0.591512 0 0.591512 0.648501
1 1984  7.8061e+07 200312 1.18793e+06 498626 323301 498626 323301 0.668086 0 0.668086 0.731653
1 1985  5.1949e+08 464888 802974 437114 391249 437114 391249 0.713903 0 0.713903 0.782124
1 1986  7.90449e+07 279570 1.89971e+06 382844 383422 382844 383422 0.477437 0 0.477437 0.548744
1 1987  4.69099e+07 998453 1.54888e+06 373021 487119 373021 487119 0.37453 0 0.37453 0.413073
1 1988  2.06819e+08 592660 795242 413646 389854 413646 389854 0.51632 0 0.51632 0.594296
1 1989  9.52712e+07 158595 756510 446028 334041 446028 334041 0.805894 0 0.805894 0.937063
1 1990  1.29232e+08 253873 667876 306240 309693 306240 309693 0.804607 0 0.804607 0.936562
1 1991  1.60808e+08 337518 945042 332204 313159 332204 313159 0.571304 0 0.571304 0.630822
1 1992  3.55633e+07 285486 1.03687e+06 558599 475354 558599 475354 0.832814 0 0.832814 0.945019
1 1993  1.46912e+08 263512 459578 132024 122799 132024 122799 0.368187 0 0.368187 0.415343
1 1994  2.13845e+08 179111 665229 193241 136704 193241 136704 0.297713 0 0.297713 0.342178
1 1995  5.58244e+07 394664 1.41739e+06 400588 478129 400588 478129 0.557939 0 0.557939 0.64159
1 1996  3.85197e+08 363005 604746 265869 216653 265869 216653 0.520609 0 0.520609 0.599788
1 1997  6.17957e+07 233565 1.84221e+06 426089 545553 426089 545553 0.512236 0 0.512236 0.56671
1 1998  1.17542e+08 523627 851388 377073 352285 377073 352285 0.62942 0 0.62942 0.732417
1 1999  1.56453e+08 226268 579733 422718 297090 422718 297090 0.938869 0 0.938869 1.07159
1 2000  2.52948e+08 144141 683832 299167 288327 299167 288327 0.758133 0 0.758133 0.855367
1 2001  3.93636e+08 164350 806763 531265 499563 531265 499563 1.22015 0 1.22015 1.3069
1 2002  2.44888e+07 156761 1.39325e+06 606466 639040 606466 639040 0.837183 0 0.837183 0.999666
1 2003  1.47864e+08 235809 331232 148039 136531 148039 136531 0.721768 0 0.721768 0.832781
1 2004  6.44301e+07 90704.9 466924 203646 187442 203646 187442 0.732263 0 0.732263 0.871028
1 2005  1.44786e+08 113273 340721 123422 161383 123422 161383 0.939608 0 0.939608 1.08593
1 2006  8.43457e+07 76023.2 516786 240646 254568 240646 254568 1.15026 0 1.15026 1.32602
1 2007  2.03964e+08 93004.4 340850 109624 87532.6 109624 87532.6 0.41635 0 0.41635 0.502814
1 2008  9.0161e+07 144344 770601 234447 305990 234447 305990 0.787318 0 0.787318 0.935406
1 2009  6.57774e+08 166425 471498 290995 237724 290995 237724 0.986458 0 0.986458 1.15503
1 2010  4.49209e+07 159304 2.25423e+06 300508 256259 300508 256259 0.311421 0 0.311421 0.378047
1 2011  6.40138e+07 743337 1.03747e+06 318840 349584 318840 349584 0.346721 0 0.346721 0.421854
1 2012  2.10903e+08 358132 567927 46116.9 48360.8 46116.9 48360.8 0.0648236 0 0.0648236 0.0798478
1 2013  7.00725e+07 208305 692706 214359 167222 214359 167222 0.407955 0 0.407955 0.485106
1 2014  NA 212971 NA NA NA NA NA NA NA NA NA
