Area-1r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1983        307788940         476651         646348         378795          0.583
1984         76137731         205120        1190137         498626          0.658
1985        518903782         462475         793723         437114          0.703
1986         77487239         277318        1894425         382844          0.472
1987         46882106         991639        1533915         373021          0.369
1988        205020569         593692         795387         413646          0.511
1989         93494115         160386         753101         446028          0.809
1990        132179278         250302         656341         306240          0.808
1991        161729278         331092         950504         332204          0.574
1992         36290504         286424        1042358         558599          0.836
1993        149626901         262868         461536         132024          0.370
1994        215287200         180299         675313         193241          0.299
1995         54970811         399344        1429381         400588          0.560
1996        387500177         364563         603306         265869          0.523
1997         60463912         233685        1851447         426089          0.515
1998        113895397         522264         844877         377073          0.632
1999        150715682         225231         567762         422718          0.931
2000        244416799         142560         662828         299167          0.752
2001        405753839         160696         781692         531265          1.211
2002         25513347         154898        1428825         606466          0.829
2003        151084872         243553         342920         148039          0.716
2004         67761205          94316         478922         203646          0.726
2005        149596865         117296         356073         123422          0.993
2006         74627342          75553         530434         240646          1.216
2007        206138390          88325         308942         109624          0.439
2008         66094286         129277         758791         234447          0.832
2009        479825121         155144         386188         290995          1.043
2010         31323361         119713        1646975         300508          0.552
2011         40855032         452799         643056         318840          0.612
2012         91537450         163016         295400          46117          0.113
2013         51269268          97198         309657         214359          0.712
2014        189591428          73678         211182          78830          0.426
2015         28959260          93178         645626         163381          0.399
2016        233749166         270485         409101          14613          0.028
2017         20794938         183633         852929         241916          0.543
2018        110802852         231976         331641         130460          0.633
                               97593
