Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten Mean.Fsum Mean.Fanu
1 1983  3.07789e+08 476651 646348 378795 305734 378795 305734 0.582596 0 0.582596 0.640287
1 1984  7.61377e+07 205120 1.19014e+06 498626 329205 498626 329205 0.658204 0 0.658204 0.722536
1 1985  5.18904e+08 462475 793723 437114 385106 437114 385106 0.70332 0 0.70332 0.77234
1 1986  7.74872e+07 277318 1.89443e+06 382844 387014 382844 387014 0.47236 0 0.47236 0.543775
1 1987  4.68821e+07 991639 1.53391e+06 373021 475818 373021 475818 0.368674 0 0.368674 0.407631
1 1988  2.05021e+08 593692 795387 413646 385370 413646 385370 0.51098 0 0.51098 0.58906
1 1989  9.34941e+07 160386 753101 446028 335935 446028 335935 0.809247 0 0.809247 0.941054
1 1990  1.32179e+08 250302 656341 306240 305808 306240 305808 0.807999 0 0.807999 0.940613
1 1991  1.61729e+08 331092 950504 332204 315578 332204 315578 0.573932 0 0.573932 0.633708
1 1992  3.62905e+07 286424 1.04236e+06 558599 481364 558599 481364 0.836398 0 0.836398 0.949131
1 1993  1.49627e+08 262868 461536 132024 122952 132024 122952 0.369773 0 0.369773 0.417173
1 1994  2.15287e+08 180299 675313 193241 139820 193241 139820 0.29899 0 0.29899 0.343695
1 1995  5.49708e+07 399344 1.42938e+06 400588 486156 400588 486156 0.560342 0 0.560342 0.644451
1 1996  3.875e+08 364563 603306 265869 215855 265869 215855 0.522879 0 0.522879 0.602499
1 1997  6.04639e+07 233685 1.85145e+06 426089 555548 426089 555548 0.514617 0 0.514617 0.569397
1 1998  1.13895e+08 522264 844877 377073 349137 377073 349137 0.632108 0 0.632108 0.735754
1 1999  1.50716e+08 225231 567762 422718 288969 422718 288969 0.930681 0 0.930681 1.06214
1 2000  2.44417e+08 142560 662828 299167 277390 299167 277390 0.751632 0 0.751632 0.847857
1 2001  4.05754e+08 160696 781692 531265 484041 531265 484041 1.2109 0 1.2109 1.29649
1 2002  2.55133e+07 154898 1.42882e+06 606466 649968 606466 649968 0.829297 0 0.829297 0.990412
1 2003  1.51085e+08 243553 342920 148039 140388 148039 140388 0.715566 0 0.715566 0.825464
1 2004  6.77612e+07 94316 478922 203646 190709 203646 190709 0.725588 0 0.725588 0.863084
1 2005  1.49597e+08 117296 356073 123422 175365 123422 175365 0.992891 0 0.992891 1.14581
1 2006  7.46273e+07 75552.8 530434 240646 273071 240646 273071 1.21602 0 1.21602 1.39922
1 2007  2.06138e+08 88324.8 308942 109624 84061 109624 84061 0.438845 0 0.438845 0.529837
1 2008  6.60943e+07 129277 758791 234447 314395 234447 314395 0.831582 0 0.831582 0.986615
1 2009  4.79825e+08 155144 386188 290995 206026 290995 206026 1.04329 0 1.04329 1.21929
1 2010  3.13234e+07 119713 1.64698e+06 300508 376019 300508 376019 0.552467 0 0.552467 0.664936
1 2011  4.0855e+07 452799 643056 318840 305404 318840 305404 0.611528 0 0.611528 0.73906
1 2012  9.15374e+07 163016 295400 46116.9 35703.8 46116.9 35703.8 0.113202 0 0.113202 0.139917
1 2013  5.12693e+07 97198.1 309657 214359 118178 214359 118178 0.712417 0 0.712417 0.842947
1 2014  1.89591e+08 73678.4 211182 78829.5 55770.6 78829.5 55770.6 0.425808 0 0.425808 0.494804
1 2015  2.89593e+07 93178.1 645626 163381 125383 163381 125383 0.399041 0 0.399041 0.467249
1 2016  2.33749e+08 270485 409101 14612.7 12448.1 14612.7 12448.1 0.0279354 0 0.0279354 0.0331244
1 2017  2.07949e+07 183633 852929 241916 242560 241916 242560 0.542673 0 0.542673 0.629101
1 2018  1.10803e+08 231976 331641 130460 157788 130460 157788 0.632824 0 0.632824 0.714657
1 2019  NA 97592.7 NA NA NA NA NA NA NA NA NA
