Year,Step,0,1,2,3,4+
1983,1,0,0.19,0.6883,1.0055,1.0055
1983,2,0.0122,0.0621,0.2248,0.3284,0.3284
1984,1,0,0.217,0.7861,1.1483,1.1483
1984,2,0.0133,0.0678,0.2456,0.3588,0.3588
1985,1,0,0.2315,0.8389,1.2254,1.2254
1985,2,0.0143,0.0727,0.2635,0.3849,0.3849
1986,1,0,0.1802,0.6528,0.9536,0.9536
1986,2,0.0047,0.0242,0.0876,0.1279,0.1279
1987,1,0,0.1176,0.4262,0.6226,0.6226
1987,2,0.0082,0.0419,0.1517,0.2216,0.2216
1988,1,0,0.1967,0.7129,1.0413,1.0413
1988,2,0.0048,0.0243,0.0881,0.1286,0.1286
1989,1,0,0.6707,0.885,0.8728,0.8728
1989,2,0.0012,0.0271,0.0357,0.0352,0.0352
1990,1,0,0.6517,0.8599,0.848,0.848
1990,2,0.002,0.045,0.0594,0.0586,0.0586
1991,1,0,0.3734,0.4927,0.4859,0.4859
1991,2,0.0053,0.1215,0.1603,0.1581,0.1581
1992,1,0,0.6451,0.8512,0.8395,0.8395
1992,2,0.0033,0.0761,0.1004,0.099,0.099
1993,1,0,0.2844,0.3753,0.3701,0.3701
1993,2,0.0015,0.0344,0.0454,0.0448,0.0448
1994,1,0,0.2321,0.3062,0.302,0.302
1994,2,0.0011,0.0257,0.0339,0.0335,0.0335
1995,1,0,0.4311,0.5688,0.561,0.561
1995,2,0.0023,0.0521,0.0687,0.0678,0.0678
1996,1,0,0.391,0.5159,0.5088,0.5088
1996,2,0.0026,0.0598,0.079,0.0779,0.0779
1997,1,0,0.3252,0.4291,0.4232,0.4232
1997,2,0.0051,0.1185,0.1564,0.1542,0.1542
1998,1,0,0.4959,0.6544,0.6454,0.6454
1998,2,0.0021,0.0491,0.0648,0.0639,0.0639
1999,1,0,0.7576,0.8276,0.8106,0.8106
1999,2,0.0172,0.132,0.1442,0.1412,0.1412
2000,1,0,0.5948,0.6498,0.6364,0.6364
2000,2,0.0161,0.1236,0.1351,0.1323,0.1323
2001,1,0,0.7736,0.8451,0.8277,0.8277
2001,2,0.0501,0.3839,0.4193,0.4107,0.4107
2002,1,0,0.7644,0.835,0.8178,0.8178
2002,2,0.0037,0.0283,0.0309,0.0303,0.0303
2003,1,0,0.5683,0.6208,0.608,0.608
2003,2,0.0151,0.1157,0.1264,0.1238,0.1238
2004,1,0,0.6348,0.6934,0.6792,0.6792
2004,2,0.0077,0.0588,0.0642,0.0629,0.0629
2005,1,0,0.7491,1.1029,1.111,1.111
2005,2,5e-04,0.0541,0.0797,0.0803,0.0803
2006,1,0,0.906,1.334,1.3437,1.3437
2006,2,7e-04,0.0777,0.1144,0.1152,0.1152
2007,1,0,0.355,0.5227,0.5265,0.5265
2007,2,0,0,0,0,0
2008,1,0,0.6356,0.9359,0.9427,0.9427
2008,2,4e-04,0.0371,0.0546,0.055,0.055
2009,1,0,0.7681,1.1309,1.1392,1.1392
2009,2,7e-04,0.0759,0.1117,0.1125,0.1125
2010,1,0,0.2887,0.7614,1.1611,1.1611
2010,2,7e-04,0.0151,0.0398,0.0606,0.0606
2011,1,0,0.3257,0.859,1.3099,1.3099
2011,2,5e-04,0.0106,0.0279,0.0425,0.0425
2012,1,0,0.0622,0.1642,0.2503,0.2503
2012,2,0,0,0,0,0
2013,1,0,0.3917,1.0331,1.5754,1.5754
2013,2,0,0,0,0,0
2014,1,0,0.2249,0.5931,0.9044,0.9044
2014,2,4e-04,0.0092,0.0244,0.0372,0.0372
2015,1,0,0.2194,0.5787,0.8824,0.8824
2015,2,0,0,0,0,0
2016,1,0,0.0154,0.0405,0.0618,0.0618
2016,2,0,0,0,0,0
2017,1,0,0.2926,0.7718,1.1769,1.1769
2017,2,3e-04,0.0058,0.0152,0.0231,0.0231
2018,1,0,0.3117,0.8222,1.2538,1.2538
2018,2,0.0017,0.0362,0.0955,0.1457,0.1457
