Year,Recruitment,High,Low,SSB,High,Low,F ages 1-2,High,Low
1983,307812072.346947,422901843.698505,224043175.252908,476870.383385525,681912.894809917,333481.540356626,0.582596757523556,0.721023412388418,0.470746131186813
1984,76133580.9895296,105293641.038415,55049118.7988697,205048.127733865,287842.098827886,146068.746921915,0.658204240449321,0.81413997185654,0.532135550546101
1985,518784949.619385,704851373.828318,381836276.334112,462314.188215666,629626.949929551,339461.976094614,0.703322320049589,0.870004259016846,0.56857455667968
1986,77516393.4235129,107458570.965877,55917282.3105649,277340.147182198,360156.0741944,213567.291378032,0.472361829099106,0.581230633560157,0.383884958408269
1987,46875232.39488,66131233.2956224,33226167.1614623,991525.554316325,1333671.91511544,737155.003205717,0.368674919571763,0.456821380985591,0.297536853524667
1988,205098313.460895,280798194.224461,149806227.567396,593623.168164276,800714.309234526,440092.62944017,0.510977357467442,0.628653095580485,0.415328997311812
1989,93455878.9500518,128790025.030822,67815821.203828,160331.688254467,202256.363874287,127097.361814066,0.809247884765517,0.928912324832391,0.704998869635655
1990,132222940.622727,180602833.957317,96803054.7685263,250196.027602395,325034.808077709,192588.764871769,0.808002602136712,0.92802163457248,0.70350537179067
1991,161659042.608671,220798601.937967,118359653.674321,331041.823049129,428629.502888963,255672.294765207,0.573934500385707,0.665716275293116,0.494806605994357
1992,36288084.6937666,50283534.8905425,26187997.5942115,286358.556889518,367537.382320362,223109.885003129,0.836398587679286,0.961938510852617,0.727242531179924
1993,149678467.295109,204394833.554519,109609637.299551,262760.959862349,345692.438795162,199724.70982709,0.369771511716148,0.42531464277466,0.321481926850302
1994,215183131.939711,293068134.274252,157996639.198079,180231.965961932,232385.620888164,139783.009939913,0.299003499992328,0.343806878418704,0.260038697942462
1995,54953613.6959951,75881569.0229013,39797538.4159129,399512.367038122,512844.707347376,311225.072872384,0.560340861037292,0.644503985305135,0.48716825296179
1996,387412277.312279,522642141.183121,287172160.041529,364397.28728242,466132.170597489,284866.377724115,0.522881718578954,0.60208566748536,0.454096993814801
1997,60490688.3750902,83311880.5866029,43920787.2194003,233748.259234951,292281.911999585,186936.8115241,0.514618206424672,0.597988521096378,0.442871207457615
1998,113919201.92166,157093531.132852,82610559.9185564,522301.350447887,685003.510520527,398244.237423528,0.632104847911996,0.72656508677067,0.549925321253375
1999,150729892.260237,206349315.923459,110102135.881129,225257.619104106,293871.763548449,172663.730437257,0.930680723346224,1.08067066189214,0.801508395991512
2000,244322589.943867,337356732.003276,176944825.148174,142628.695866066,177849.685207125,114382.799501518,0.75163082483251,0.873688451673095,0.646625116489217
2001,405649482.064242,552191645.722986,297997087.738515,160652.672508235,202734.63804376,127305.73045178,1.21089529593123,1.42673481182068,1.0277084469799
2002,25520688.62972,35453693.7884957,18370597.7724233,154972.041157192,198832.573768683,120786.71560308,0.829294449949037,0.961684741897131,0.71512966230449
2003,151031653.705616,206344496.195776,110546008.454768,243531.116051525,321851.317219573,184269.5720423,0.71556703116941,0.831646477735921,0.615689706869887
2004,67795067.5320876,91331772.8754898,50323901.934392,94277.703645286,123845.654558582,71769.0534747349,0.725590117526785,0.841261520292635,0.625823249908537
2005,149528863.642107,199495802.650464,112076949.815705,117242.5330181,152786.472147413,89967.4647585155,0.992891287283724,1.16582809703069,0.845607607909606
2006,74626035.0800293,97131793.9005041,57334935.2269799,75584.0075918816,93630.7358765435,61015.671298177,1.21601607131673,1.428574486313,1.0350843444761
2007,206126373.035346,269315935.075057,157762969.535632,88344.5686079346,115699.094496147,67457.4233835682,0.438844562657614,0.514551846690435,0.374276278304788
2008,66121201.3506753,91452419.2248192,47806425.5173911,129314.15075082,158457.309215681,105530.945004529,0.831578148332468,0.975960583343183,0.708555477123088
2009,479857623.424114,619385944.895866,371760677.903261,155127.090710205,196471.412132232,122483.032065835,1.04328563751798,1.22635278190212,0.887546338634368
2010,31327284.9681021,41560526.1483398,23613723.7524333,119730.660107925,147915.985109421,96916.0362166052,0.552467870622843,0.660617189081352,0.462023624445764
2011,40873806.9913587,54169307.8558801,30841599.4978509,452706.820690315,588963.04138394,347973.388988821,0.611530773811599,0.730460589071206,0.51196449598208
2012,91513769.0183984,118979374.221447,70388417.9485216,163080.62672854,221559.880127006,120036.582430573,0.113199899615762,0.135017071197416,0.0949081265011465
2013,51289673.8291831,67629741.8031305,38897540.8062585,97246.084649822,123307.950578139,76692.5484965195,0.712418328554241,0.849723688053152,0.597299901127708
2014,189519030.07422,250811025.007753,143205278.791723,73644.1508100243,94535.2787199426,57369.703902777,0.425806611244715,0.508851324620339,0.3563148240107
2015,28947662.0349947,39088104.6089795,21437906.6387316,93153.1321254872,116881.0617086,74242.1902910382,0.399041443126965,0.475949246600666,0.334561036644423
2016,233805469.346848,315676984.676682,173167510.303255,270492.594550195,353518.758975798,206965.661223949,0.0279342987305464,0.0333181143565865,0.0234204444229945
2017,20790360.5051727,30920809.2017254,13978906.1507137,183689.112202639,231203.624284147,145939.277752521,0.542672104804206,0.647805292605963,0.454601122735435
2018,110773706.703905,204456018.548035,60016888.6397437,231885.733198678,309174.834210983,173917.755623004,0.632825858336472,0.759811668533747,0.527062933571552
2019,NA,NA,NA,97635.8479954283,137280.210310572,69440.1530433278,NA,NA,NA
