Year,Step,0,1,2,3,4+
1983,1,0,13763.577,53427.909,3204.516,202.475
1983,2,307788.94,7661.692,18862.259,872.813,56.6
1984,1,0,182227.025,4452.304,10216.052,469.215
1984,2,76137.731,98259.035,1415.722,2463.584,115.251
1985,1,0,45492.532,57607.729,752.597,1286.166
1985,2,518903.782,24559.954,17609.114,165.348,289.984
1986,1,0,305344.648,14299.24,9209.664,218.071
1986,2,77487.239,175156.8,5286.055,2676.788,64.334
1987,1,0,45338.455,106043.76,3207.116,1650.759
1987,2,46882.106,27361.409,48825.95,1291.641,675.325
1988,1,0,27160.88,16292.256,27614.758,1082.026
1988,2,205020.569,15042.963,5571.331,7237.405,284.967
1989,1,0,118198.719,9130.307,3357.05,4557.267
1989,2,93494.115,39883.844,2572.055,1019.866,1423.515
1990,1,0,55351.42,24779.257,1674.61,1644.664
1990,2,132179.278,19307.191,7440.743,535.665,529.607
1991,1,0,76615.259,11469.123,4680.289,695.377
1991,2,161729.278,35564.21,5038.79,2250.734,334.614
1992,1,0,92840.431,20046.663,2918.93,1555.872
1992,2,36290.504,32930.366,6260.387,998.219,531.182
1993,1,0,21225.005,19965.539,3929.002,995.412
1993,2,149626.901,10708.202,9759.39,2108.271,544.096
1994,1,0,89540.072,6989.2,6740.427,1851.895
1994,2,215287.2,48631.959,3721.964,3867.753,1089.367
1995,1,0,128926.105,30676.883,2523.342,3460.626
1995,2,54970.811,57842.13,12493.256,1120.883,1573.827
1996,1,0,32946.86,34545.641,8027.518,1801.185
1996,2,387500.177,15949.915,15289.651,3773.271,870.163
1997,1,0,225590.031,9271.841,9611.951,3032.171
1997,2,60463.912,113216.374,4399.027,4819.444,1579.367
1998,1,0,34619.651,61197.76,2572.928,3886.904
1998,2,113895.397,14008.988,22559.211,1001.09,1596.716
1999,1,0,62937.268,7891.919,14505.979,1736.3
1999,2,150715.682,18917.31,2385.414,4748.859,598.585
2000,1,0,81770.155,9640.145,1407.68,3303.226
2000,2,244416.799,28527.027,3439.655,544.45,1364.95
2001,1,0,134448.599,14879.657,2104.719,1224.313
2001,2,405753.839,41435.982,4462.458,686.154,424.097
2002,1,0,214039.461,16919.461,2053.441,537.56
2002,2,25513.347,63862.601,4843.739,640.355,179.801
2003,1,0,13332.922,35859.214,3010.343,561.441
2003,2,151084.872,4743.789,12496.944,1120.413,221.504
2004,1,0,76681.004,2399.104,6978.344,820.954
2004,2,67761.205,24041.23,760.052,2364.852,294.539
2005,1,0,34109.798,12428.75,450.901,1732.616
2005,2,149596.865,9606.623,2747.021,101.761,420.222
2006,1,0,77087.632,5374.252,1735.367,340.937
2006,2,74627.342,18101.326,932.79,325.741,67.453
2007,1,0,37223.795,9653.173,558.444,246.46
2007,2,206138.39,15431.553,3886.472,244.5,111.756
2008,1,0,99250.975,9030.188,2577.446,245.263
2008,2,66094.286,31144.782,2382.685,751.782,73.244
2009,1,0,33016.683,16764.075,1457.317,539.028
2009,2,479825.121,9816.672,3881.504,355.641,134.794
2010,1,0,245513.569,5164.221,2253.683,299.264
2010,2,31323.361,117179.358,1709.175,533.015,73.253
2011,1,0,15944.92,61824.708,1043.771,378.959
2011,2,40855.032,7069.315,18718.944,209.999,79.261
2012,1,0,19808.896,3597.966,11699.793,182.958
2012,2,91537.45,10807.142,2018.811,6528.523,106.019
2013,1,0,44716.423,5710.519,1307.622,4417.82
2013,2,51269.268,17586.857,1293.191,193.526,679.67
2014,1,0,26682.186,9841.094,875.851,614.104
2014,2,189591.428,13274.935,3505.271,263.44,188.262
2015,1,0,100442.665,7790.85,2416.601,314.925
2015,2,28959.26,48231.383,2955.953,762.378,101.39
2016,1,0,15802.287,28799.055,2123.176,626.987
2016,2,233749.166,9305.717,18715.887,1521.805,458.621
2017,1,0,127550.615,5556.462,13443.086,1440.57
2017,2,20794.938,56923.763,1737.967,3159.137,345.483
2018,1,0,11344.108,33794.329,1229.536,2484.871
2018,2,110802.852,4966.887,10050.883,267.572,551.857
2019,1,0,60359.4294289404,2860.29839331239,6561.71952513662,519.434984178555
