"Year","Step","0","1","2","3","4+"
1983,1,0,0.395819067,0.352847433,0.2951011,0.269116567
1983,2,0.511974,0.480756333,0.388363033,0.355307233,0.3510668
1984,1,0,0.4006916,0.359701667,0.274045533,0.255653833
1984,2,0.501684,0.466168467,0.3862747,0.3363949,0.3481095
1985,1,0,0.384901633,0.346351633,0.29004,0.2641565
1985,2,0.515995,0.4681868,0.384665833,0.363462333,0.344413833
1986,1,0,0.375586267,0.342321267,0.282013967,0.267110567
1986,2,0.531211333,0.4776618,0.412133667,0.379667633,0.360619133
1987,1,0,0.387398667,0.349411267,0.2869016,0.271238833
1987,2,0.537636667,0.476579833,0.4182285,0.381382133,0.366018567
1988,1,0,0.394121733,0.360197233,0.297751567,0.292881467
1988,2,0.545970333,0.4750089,0.4185187,0.372786,0.366103333
1989,1,0,0.415694333,0.3818989,0.3185896,0.2907924
1989,2,0.523023,0.4488909,0.393401,0.3657481,0.356953767
1990,1,0,0.401569833,0.3431731,0.291810333,0.285141133
1990,2,0.543411,0.475774733,0.404174567,0.367537467,0.368295467
1991,1,0,0.3940656,0.3298008,0.2462003,0.245573433
1991,2,0.549777333,0.451793633,0.385650533,0.349013433,0.354592933
1992,1,0,0.391389767,0.312610467,0.233517467,0.235205067
1992,2,0.533079,0.424299067,0.3654575,0.327794033,0.3354852
1993,1,0,0.3997543,0.340489333,0.252399667,0.233913333
1993,2,0.511967,0.392221733,0.3246864,0.3150595,0.312085167
1994,1,0,0.3783282,0.323887367,0.253441667,0.2286048
1994,2,0.511618667,0.435043433,0.3547186,0.3274418,0.3204208
1995,1,0,0.370428267,0.329489267,0.2504737,0.2269457
1995,2,0.509650333,0.463373333,0.373616567,0.340753267,0.331085633
1996,1,0,0.3344344,0.2991674,0.2461041,0.218690833
1996,2,0.538403667,0.482625667,0.3852019,0.349553833,0.342860533
1997,1,0,0.364195133,0.316463967,0.267126833,0.2290329
1997,2,0.55249,0.496684333,0.3799697,0.3458151,0.339628
1998,1,0,0.408800933,0.343595433,0.298599933,0.244308167
1998,2,0.591013667,0.524744667,0.3767749,0.3434078,0.336239633
1999,1,0,0.444463167,0.368845733,0.3060672,0.254354033
1999,2,0.59425,0.542168667,0.383259467,0.341452233,0.333115333
2000,1,0,0.458266033,0.3807951,0.313522933,0.247383767
2000,2,0.581548667,0.527220333,0.356125233,0.326927967,0.306281067
2001,1,0,0.4034795,0.3592447,0.2931755,0.232512767
2001,2,0.589462667,0.511828333,0.356846733,0.323054067,0.301056733
2002,1,0,0.445075133,0.415778933,0.347434033,0.277372533
2002,2,0.645268333,0.54882,0.444702533,0.3532994,0.3324708
2003,1,0,0.4651178,0.433308933,0.380325267,0.322034133
2003,2,0.663083,0.566065667,0.4563059,0.368449233,0.363442433
2004,1,0,0.525117333,0.456026667,0.402929967,0.345889233
2004,2,0.678731,0.600987667,0.4579369,0.366294333,0.359899
2005,1,0,0.518059333,0.406567667,0.3776095,0.305588233
2005,2,0.662479333,0.5267228,0.379626167,0.358943267,0.3424956
2006,1,0,0.542972333,0.417230333,0.3291243,0.276516733
2006,2,0.694809333,0.551003133,0.3986282,0.3547053,0.3382863
2007,1,0,0.525537667,0.387091533,0.299413533,0.264352233
2007,2,0.730896,0.535841133,0.410703067,0.3786732,0.3616998
2008,1,0,0.523392667,0.3964752,0.289375233,0.265795367
2008,2,0.693711667,0.582326667,0.437032133,0.371266467,0.3643224
2009,1,0,0.444854667,0.332107333,0.271229,0.246816667
2009,2,0.669337667,0.566455667,0.431943333,0.386610267,0.367907667
2010,1,0,0.450948333,0.344339133,0.2806787,0.246314467
2010,2,0.674501333,0.624328333,0.453414333,0.412842133,0.383625267
2011,1,0,0.487689333,0.335808867,0.2936362,0.254828367
2011,2,0.723392667,0.664834667,0.442113667,0.4261996,0.388043067
2012,1,0,0.54368,0.413699733,0.333056467,0.295305567
2012,2,0.716407333,0.637897333,0.4342982,0.4070705,0.3806725
2013,1,0,0.541468333,0.452084733,0.335123433,0.2963629
2013,2,0.653095333,0.580585,0.389672233,0.364612133,0.348431967
2014,1,0,0.473237867,0.4392055,0.296940367,0.277896867
2014,2,0.634841,0.523679,0.347513533,0.326506167,0.319288667
2015,1,0,0.514165533,0.3904592,0.271240067,0.2509252
2015,2,0.605735333,0.515667333,0.3309078,0.322547633,0.304217567
2016,1,0,0.514165533,0.3904592,0.271240067,0.2509252
2016,2,0.605735333,0.515667333,0.3309078,0.322547633,0.304217567
2017,1,0,0.514165533,0.3904592,0.271240067,0.2509252
2017,2,0.605735333,0.515667333,0.3309078,0.322547633,0.304217567
2018,1,0,0.514165533,0.3904592,0.271240067,0.2509252
2018,2,0.605735333,0.515667333,0.3309078,0.322547633,0.304217567
2019,1,0,0.514165533,0.3904592,0.271240067,0.2509252
2019,2,0.605735333,0.515667333,0.3309078,0.322547633,0.304217567
2020,1,0,0.514165533,0.3904592,0.271240067,0.2509252
2020,2,0.605735333,0.515667333,0.3309078,0.322547633,0.304217567
