,2018,2017,2016,2015,2014,2013
1983,0.5825959,0.58371775,0.5890836,0.58883515,0.59032015,0.59151175
1984,0.6582035,0.6594005,0.6653651,0.6650841,0.66677345,0.6680859
1985,0.7033195,0.704608,0.71099305,0.7106931,0.7124964,0.7139033
1986,0.4723602,0.4724707,0.47572415,0.47552365,0.4768538,0.47743695
1987,0.3686744,0.36946425,0.37296815,0.37281095,0.37373805,0.37453035
1988,0.51097985,0.51104255,0.5144851,0.51426845,0.5157159,0.51632015
1989,0.8092471,0.8078649,0.8061037,0.806193,0.8062061,0.80589375
1990,0.8079994,0.8065646,0.80482435,0.80491215,0.80493755,0.8046074
1991,0.573932,0.572641,0.571495,0.5715535,0.57163,0.5713035
1992,0.8363972,0.83482265,0.83305065,0.83314055,0.8331862,0.8328142
1993,0.36977315,0.36907495,0.3682922,0.36833165,0.3683521,0.3681872
1994,0.29899025,0.29843215,0.2977975,0.29782965,0.29784445,0.29771305
1995,0.5603424,0.5592842,0.558098,0.5581579,0.55818935,0.55793865
1996,0.5228795,0.52185765,0.52076235,0.5208179,0.52085395,0.52060905
1997,0.514616,0.5134295,0.512412,0.5124635,0.5125385,0.512236
1998,0.6321079,0.6309436,0.629596,0.62966365,0.62969325,0.6294202
1999,0.930681,0.929293,0.9280145,0.9268815,0.932471,0.9388695
2000,0.7516325,0.7505225,0.749461,0.748548,0.7529955,0.758133
2001,1.2108985,1.209223,1.207203,1.2057565,1.2122035,1.22015
2002,0.82929685,0.82800465,0.82701625,0.8259949,0.83132155,0.83718315
2003,0.7155655,0.7145075,0.713501,0.7126315,0.716873,0.7217675
2004,0.7255873,0.7244782,0.72355575,0.72266655,0.72719525,0.73226315
2005,0.9928927,0.98072935,0.9637801,0.9538873,0.95245845,0.93960995
2006,1.2160192,1.2008813,1.1798986,1.1677059,1.1659829,1.1502613
2007,0.4388445,0.43398,0.426957,0.422752,0.422066,0.4163495
2008,0.83158145,0.82157105,0.80753635,0.7993085,0.79809545,0.78731845
2009,1.04328615,1.0300986,1.0119154,1.00138975,0.99993405,0.98645995
2010,0.55246645,0.52845225,0.4789763,0.44114225,0.390010385,0.311420335
2011,0.6115282,0.58546821,0.531171645,0.48926241,0.433102995,0.346721015
2012,0.11320195,0.1085446,0.09864255,0.0908753,0.08061935,0.06482385
2013,0.7124155,0.683105,0.62079,0.5719065,0.507363,0.4079555
2014,0.425808005,0.407500835,0.36954858,0.34037659,0.301137125,NA
2015,0.399041,0.382623,0.3477185,0.320338,NA,NA
2016,0.0279354,0.02678605,0.02434255,NA,NA,NA
2017,0.54267301,0.51985519,NA,NA,NA,NA
2018,0.63282435,NA,NA,NA,NA,NA
