,2018,2017,2016,2015,2014,2013
1983,307789,304327,291842,290960,300356,308543
1984,76137.7,76618.4,77994.4,77973.5,77916.3,78061
1985,518904,520781,527054,527474,522609,519490
1986,77487.2,77487.2,76722.6,76593.5,77954.4,79044.9
1987,46882.1,47281.7,48672.4,48763,47728.4,46909.9
1988,205021,204038,200872,200549,203957,206819
1989,93494.1,94073.5,93630.3,93588,94744.8,95271.2
1990,132179,132495,134532,134808,131724,129232
1991,161729,160296,155997,155721,158324,160808
1992,36290.5,36240,36192.7,36221.9,35898.3,35563.3
1993,149627,148985,149710,149811,148232,146912
1994,215287,214672,214824,214864,214521,213845
1995,54970.8,55472.1,56170,56184.9,55908.7,55824.4
1996,387500,387667,391321,391579,387561,385197
1997,60463.9,60802.5,60926.4,60887.4,61444.3,61795.7
1998,113895,114052,113763,113505,115553,117542
1999,150716,151943,152882,152664,154542,156453
2000,244417,246474,246029,245546,248523,252948
2001,405754,403235,396001,396183,394984,393636
2002,25513.3,25433.3,25560.4,25619.2,25088.1,24488.8
2003,151085,151094,153339,154314,152224,147864
2004,67761.2,67856.9,69059.2,69031.9,66826.1,64430.1
2005,149597,151408,150788,151467,150200,144786
2006,74627.3,76690.8,78396.9,78594.5,79967.3,84345.7
2007,206138,208690,210303,209884,210864,203964
2008,66094.3,69861.7,73357.2,74464.6,81730.4,90161
2009,479825,496402,504912,506075,547099,657774
2010,31323.4,32985.1,34320.2,35031,36811.5,44920.9
2011,40855,42102,42544.6,43720.6,47162.8,64013.8
2012,91537.4,95254.6,98207,105609,131956,210903
2013,51269.3,54643.4,62740.8,66787.9,118268,70072.5
2014,189591,224648,258912,249229,226904,NA
2015,28959.3,30227.4,24077.3,16930.4,NA,NA
2016,233749,256787,221075,NA,NA,NA
2017,20794.9,23154.9,NA,NA,NA,NA
2018,110803,NA,NA,NA,NA,NA
