Year,Rec,TSB,SSB,Catch,Fbar
1983,307788940,646348,476651,378795,0.5826
1984,76137731,1190137,205120,498626,0.65825
1985,518903782,793723,462475,437114,0.7033
1986,77487239,1894425,277318,382844,0.4724
1987,46882106,1533915,991639,373021,0.3687
1988,205020569,795387,593692,413646,0.511
1989,93494115,753101,160386,446028,0.80925
1990,132179278,656341,250302,306240,0.808
1991,161729278,950504,331092,332204,0.57395
1992,36290504,1042358,286424,558599,0.8364
1993,149626901,461536,262868,132024,0.36975
1994,215287200,675313,180299,193241,0.29895
1995,54970811,1429381,399344,400588,0.56035
1996,387500177,603306,364563,265869,0.52285
1997,60463912,1851447,233685,426089,0.5146
1998,113895397,844877,522264,377073,0.6321
1999,150715682,567762,225231,422718,0.9307
2000,244416799,662828,142560,299167,0.75165
2001,405753839,781692,160696,531265,1.21095
2002,25513347,1428825,154898,606466,0.8293
2003,151084872,342920,243553,148039,0.7156
2004,67761205,478922,94316,203646,0.7256
2005,149596865,356073,117296,123422,0.9929
2006,74627342,530434,75553,240646,1.21605
2007,206138390,308942,88325,109624,0.43885
2008,66094286,758791,129277,234447,0.8316
2009,479825121,386188,155144,290995,1.0433
2010,31323361,1646975,119713,300508,0.5525
2011,40855032,643056,452799,318840,0.6116
2012,91537450,295400,163016,46117,0.1132
2013,51269268,309657,97198,214359,0.7124
2014,189591428,211182,73678,78830,0.4258
2015,28959260,645626,93178,163381,0.39905
2016,233749166,409101,270485,14613,0.02795
2017,20794938,852929,183633,241916,0.5427
2018,110802852,331641,231976,130460,0.6328
2019,NA,NA,97593,NA,NA
