"Year","Age 0, 2nd half","Age 1, 1st half","Age 1, 2nd half","Age 2, 1st half","Age 2, 2nd half","Age 3, 1st half","Age 3, 2nd half","Age 4+, 1st half","Age 4+, 2nd half"
"1983",3.3,4.9,4,9.7,8.3,17.2,13.2,20.5,11.6
"1984",3.7,5.5,7.3,10.1,12.8,14.1,16.8,13.4,15.8
"1985",3,5.1,5.8,9.2,10.7,16.4,12.9,17.9,16.6
"1986",3,5.3,7.5,11.7,12.7,11.7,12.8,13.6,14.7
"1987",4,7.2,7.8,10.6,11.2,18.5,20.2,14.7,16.1
"1988",3.9,6.1,6.8,10.4,12,16,17,17.8,24.4
"1989",6.2,5,9.6,8.6,15.5,9.1,17.2,12,28.3
"1990",5,6.6,9,9.6,13.1,14.2,19.3,17,23.1
"1991",3.8,7.8,6.1,14.2,11.8,37.8,32,19.6,17.2
"1992",4.9,7.8,9.5,11.9,15.3,17.7,19.7,19,21.2
"1993",4,7.3,7.5,11.5,10.5,14.4,13.6,20.2,18.2
"1994",4.4,5.5,7.6,8.7,12.3,12.7,16.3,19.8,18.8
"1995",3.8,7.6,6.8,11.3,9.9,14.1,14.1,19,19
"1996",2.9,5.6,4.6,8.4,7.6,12.2,9.5,17.7,14.2
"1997",3.7,7.3,8.5,8.3,14.2,9.9,15.5,14.4,16.1
"1998",3.2,6.3,6.7,8.9,10,11.5,11.9,13.5,14.5
"1999",3.4,5.3,5.9,7.5,9.6,10.3,12.8,13.1,14.7
"2000",3.1,6.3,4.8,8.7,7.9,11.9,10.6,14.5,12.2
"2001",3.1,4.5,5,8.7,12.1,11.5,16.5,16.6,23.6
"2002",3.8,6,6.7,7.4,10.8,9.8,14.4,13.8,16.5
"2003",2.2,3.6,2.7,7.2,3.6,9.5,8.4,12.8,9.1
"2004",3.5,5.1,4.5,8.3,6.6,9,6.7,10.4,8.8
"2005",3,6.5,5.3,8.7,8.5,10.3,11.3,12.1,13
"2006",3.2,5.9,5.5,9.7,8.9,11.6,11.9,13,13.7
"2007",4.1,5.6,7,9.4,11.3,13.5,15.1,14.7,17.3
"2008",4.5,6.3,7.8,10.9,12.6,13.3,16.8,15.8,19.3
"2009",2.8,6.2,4.9,9.4,7.9,12.1,10.5,13.2,12.1
"2010",3.4,6.3,5.9,12.4,9.5,13.9,12.6,17.2,14.5
"2011",2.8,5.3,4.9,8.7,7.8,12.7,10.4,14.8,12
"2012",3.8,6.4,6.6,9.5,10.6,11.3,14.1,14.5,16.2
"2013",3.8,4.7,6.5,6.5,10.5,10.1,14,11.3,16.1
"2014",3,4.7,5.2,7.1,8.5,9.5,11.3,11.7,13
"2015",4,5.5,6.9,8.3,11.1,10.6,14.8,14,17
"2016",3.2,5.2,5.4,10.1,8.7,12.5,11.6,14.7,13.3
"2017",2.9,5.3,6,7.1,8.2,9.2,10.5,10.7,12.4
"2018",2.4,4.7,4.1,7,6.6,9.5,8.8,11.5,10.1
"arith. mean",3.6,5.8,6.3,9.3,10.3,13,14,15,16
